gen,evals,sigma,success_rate,c1,cmu,lambda,min_var,max_var,niche
154,1451,4.457504073342122,1.0,0.9,0.01,9,2.759712393293847e-12,7.168943901870871e-06,0
155,1460,5.276054079508884,0.8888888888888888,0.9,0.01,9,1.7156858433180463e-12,5.075587021056215e-06,0
156,1469,5.484419802806442,0.5555555555555556,0.9,0.01,9,1.0162446536205259e-12,6.911759727236031e-06,0
157,1478,5.707086358563877,0.4444444444444444,0.9,0.01,9,1e-12,1.4683794651512054e-05,0
158,1487,5.840696989630474,0.7777777777777778,0.9,0.01,9,1e-12,1.0817500063458773e-05,0
159,1496,6.116589622473382,0.8888888888888888,0.9,0.01,9,1e-12,7.0698189862928766e-06,0
160,1505,6.260035463628789,0.6666666666666666,0.9,0.01,9,1e-12,8.117938517146579e-06,0
161,1514,6.683596421835908,1.0,0.9,0.01,9,1e-12,4.522128795403676e-06,0
162,1523,7.130934058729477,1.0,0.9,0.01,9,1.2649646797823828e-12,2.5574702853078103e-06,0
163,1532,7.944476576262711,0.6666666666666666,0.9,0.01,9,1e-12,2.1392996197521246e-06,0
164,1541,9.081349371916456,0.7777777777777778,0.9,0.01,9,1e-12,1.1927963463498743e-06,0
165,1550,10.299083300617571,0.7777777777777778,0.9,0.01,9,1e-12,1.3545086696050203e-06,0
166,1559,12.091383798698335,0.8888888888888888,0.9,0.01,9,1e-12,9.201564221537707e-07,0
167,1568,14.338739754469854,0.7777777777777778,0.9,0.01,9,1e-12,9.340231736070869e-07,0
168,1577,16.607369469211,0.7777777777777778,0.9,0.01,9,1e-12,9.467327513738938e-07,0
169,1586,19.269814104466516,0.7777777777777778,0.9,0.01,9,1e-12,7.726347229181475e-07,0
170,1595,22.84883003808312,0.8888888888888888,0.9,0.01,9,1e-12,5.929793087350802e-07,0
171,1604,26.00966266651404,0.6666666666666666,0.9,0.01,9,1e-12,6.452794953555173e-07,0
172,1613,30.81708076021645,1.0,0.9,0.01,9,1e-12,4.32256869885618e-07,0
173,1622,36.81502624201823,1.0,0.9,0.01,9,1e-12,5.093334395182762e-07,0
174,1631,41.57096326659637,1.0,0.9,0.01,9,1e-12,3.19988769905546e-07,0
175,1640,46.17001815784745,0.4444444444444444,0.9,0.01,9,1e-12,4.316639231014872e-07,0
176,1649,48.046182489212235,1.0,0.9,0.01,9,1e-12,4.0673548270925374e-07,0
177,1658,48.34154892890749,0.2222222222222222,0.9,0.01,9,1e-12,4.1739398667466546e-07,0
178,1667,48.619591363716964,0.8888888888888888,0.9,0.01,9,1e-12,2.620910394951632e-07,0
179,1675,49.190572354545274,0.625,0.016885386295586762,0.01209126742108587,8,1e-12,2.551047716675173e-07,0
180,1683,49.377742903739446,0.875,0.01857392492514544,0.010882140678977284,8,1e-12,2.546537057181209e-07,0
181,1691,49.3441472020234,0.625,0.020431317417659987,0.01,8,1e-12,2.5203237567007315e-07,0
182,1699,48.275396839132476,1.0,0.022474449159425987,0.01,8,1e-12,2.5292883220366873e-07,0
