gen,evals,F_mean,CR_mean,p,pop_size,success_rate,niche
37,3004,0.5,0.287442755016981,0.25,58,0.15517241379310345,0
38,3061,0.5,0.2977730964602385,0.25,57,0.17543859649122806,0
39,3117,0.5,0.28475303617886333,0.25,56,0.10714285714285714,0
40,3172,0.5,0.23987436072558416,0.25,55,0.05454545454545454,0
41,3226,0.5,0.2187189500608581,0.25,54,0.14814814814814814,0
42,3280,0.5,0.20250480286874661,0.25,54,0.05555555555555555,0
43,3333,0.5,0.203942555771488,0.25,53,0.18867924528301888,0
44,3385,0.5,0.1873614035241878,0.25,52,0.09615384615384616,0
45,3436,0.5,0.18535364858675601,0.25,51,0.0784313725490196,0
46,3487,0.5,0.1825093482025395,0.25,51,0.19607843137254902,0
47,3537,0.5,0.16939385484796893,0.25,50,0.16,0
48,3586,0.5,0.17831763095034642,0.25,49,0.1836734693877551,0
49,3634,0.5,0.17435129239190453,0.25,48,0.16666666666666666,0
50,3682,0.5,0.14676840988293352,0.25,48,0.10416666666666667,0
51,3729,0.5,0.14139877081017813,0.25,47,0.10638297872340426,0
52,3775,0.5,0.13705482664299473,0.25,46,0.08695652173913043,0
53,3821,0.5,0.12867243000829606,0.25,46,0.17391304347826086,0
54,3866,0.5,0.1250275539266515,0.25,45,0.13333333333333333,0
55,3910,0.5,0.1145955504077022,0.25,44,0.13636363636363635,0
56,3954,0.5,0.11577613287665756,0.25,44,0.11363636363636363,0
57,3997,0.5,0.1089847743546527,0.25,43,0.13953488372093023,0
58,4039,0.5,0.10731906827870263,0.25,42,0.07142857142857142,0
59,4081,0.5,0.10308985393819452,0.25,42,0.21428571428571427,0
60,4122,0.5,0.10265784444930974,0.25,41,0.1951219512195122,0
61,4163,0.5,0.10012778281534163,0.25,41,0.12195121951219512,0
62,4203,0.5,0.12309624483640014,0.25,40,0.325,0
63,4242,0.5,0.1257313831307068,0.25,39,0.07692307692307693,0
64,4281,0.5,0.11668952446936735,0.25,39,0.1282051282051282,0
65,4319,0.5,0.10761009116130586,0.25,38,0.05263157894736842,0
66,4357,0.5,0.09661648312155108,0.25,38,0.10526315789473684,0
67,4394,0.5,0.09352365102100152,0.25,37,0.16216216216216217,0
68,4431,0.5,0.10616980972676981,0.25,37,0.13513513513513514,0
69,4467,0.5,0.11306844268914476,0.25,36,0.1388888888888889,0
70,4503,0.5,0.10711604461769986,0.25,36,0.1388888888888889,0
71,4538,0.5,0.10263157433568475,0.25,35,0.2,0
72,4573,0.5,0.10372049695689234,0.25,35,0.11428571428571428,0
73,4607,0.5,0.10086708107031364,0.25,34,0.11764705882352941,0
74,4641,0.5,0.0834771764913899,0.25,34,0.029411764705882353,0
75,4674,0.5,0.08445025516358631,0.25,33,0.21212121212121213,0
76,4707,0.5,0.07374908413260617,0.25,33,0.09090909090909091,0
77,4739,0.5,0.07715646391267579,0.25,32,0.0625,0
78,4771,0.5,0.05231401660313502,0.25,32,0.09375,0
79,4802,0.5,0.07496492184560177,0.25,31,0.22580645161290322,0
80,4833,0.5,0.0641801693937272,0.25,31,0.16129032258064516,0
81,4863,0.5,0.061092755691447675,0.25,30,0.06666666666666667,0
82,4893,0.5,0.0582016363470903,0.25,30,0.1,0
83,4923,0.5,0.05617565352778742,0.25,30,0.13333333333333333,0
84,4952,0.5,0.06382743261803328,0.25,29,0.06896551724137931,0
85,4981,0.5,0.06782939349222776,0.25,29,0.1724137931034483,0
86,5009,0.5,0.07761154268547946,0.25,28,0.14285714285714285,0
87,5037,0.5,0.05830928384043428,0.25,28,0.10714285714285714,0
88,5064,0.5,0.061882923396202515,0.25,27,0.1111111111111111,0
89,5091,0.5,0.06195391412027743,0.25,27,0.07407407407407407,0
90,5118,0.5,0.06195391412027743,0.25,27,0.0,0
91,5144,0.5,0.06195391412027743,0.25,26,0.0,0
92,5170,0.5,0.05417057615624225,0.25,26,0.15384615384615385,0
93,5196,0.5,0.05417057615624225,0.25,26,0.0,0
94,5221,0.5,0.04225539507678823,0.25,25,0.28,0
95,5246,0.5,0.04052257803500701,0.25,25,0.2,0
96,5270,0.5,0.041105846042339564,0.25,24,0.125,0
97,5294,0.5,0.041105846042339564,0.25,24,0.0,0
98,5318,0.5,0.05397351397449026,0.25,24,0.125,0
99,5341,0.5,0.05397351397449026,0.25,23,0.0,0
100,5364,0.5,0.05522965528940971,0.25,23,0.13043478260869565,0
101,5387,0.5,0.060941833626599426,0.25,23,0.13043478260869565,0
102,5409,0.5,0.06228447759476534,0.25,22,0.2727272727272727,0
103,5431,0.5,0.06640603427297646,0.25,22,0.13636363636363635,0
104,5453,0.5,0.06640603427297646,0.25,22,0.0,0
105,5474,0.5,0.05446204662851288,0.25,21,0.047619047619047616,0
106,5495,0.5,0.07823948820679442,0.25,21,0.047619047619047616,0
107,5516,0.5,0.07056341158203851,0.25,21,0.14285714285714285,0
108,5537,0.5,0.07033530226801514,0.25,21,0.19047619047619047,0
109,5557,0.5,0.06832149685991659,0.25,20,0.2,0
110,5577,0.5,0.06754355782164086,0.25,20,0.05,0
111,5597,0.5,0.05856040681973822,0.25,20,0.1,0
112,5616,0.5,0.06467362250609665,0.25,19,0.10526315789473684,0
113,5635,0.5,0.06261643562576533,0.25,19,0.15789473684210525,0
114,5654,0.5,0.06820381058729925,0.25,19,0.10526315789473684,0
115,5673,0.5,0.04771474382598512,0.25,19,0.10526315789473684,0
116,5691,0.5,0.04909487657258812,0.25,18,0.1111111111111111,0
117,5709,0.5,0.04147323910834538,0.25,18,0.1111111111111111,0
118,5727,0.5,0.060144548481189816,0.25,18,0.2222222222222222,0
119,5745,0.5,0.048292514686442516,0.25,18,0.05555555555555555,0
120,5762,0.5,0.044539768909797495,0.25,17,0.11764705882352941,0
121,5779,0.5,0.046485577505968885,0.25,17,0.17647058823529413,0
122,5796,0.5,0.04619731935349617,0.25,17,0.23529411764705882,0
123,5813,0.5,0.043592630534562485,0.25,17,0.058823529411764705,0
124,5829,0.5,0.048218841963739156,0.25,16,0.0625,0
125,5845,0.5,0.05287702289091201,0.25,16,0.125,0
126,5861,0.5,0.05287702289091201,0.25,16,0.0,0
127,5877,0.5,0.03229651719555561,0.25,16,0.0625,0
128,5892,0.5,0.03213326991293076,0.25,15,0.13333333333333333,0
129,5907,0.5,0.016066649359020004,0.25,15,0.06666666666666667,0
130,5922,0.5,0.10379596460888585,0.25,15,0.2,0
131,5937,0.5,0.1595341988756028,0.25,15,0.13333333333333333,0
132,5951,0.5,0.1595341988756028,0.25,14,0.14285714285714285,0
133,5965,0.5,0.18097480949643718,0.25,14,0.14285714285714285,0
134,5979,0.5,0.18097480949643718,0.25,14,0.0,0
135,5993,0.5,0.18161730039621218,0.25,14,0.14285714285714285,0
136,6007,0.5,0.1540602700456898,0.25,14,0.14285714285714285,0
137,6020,0.5,0.13401877777830248,0.25,13,0.07692307692307693,0
